   TESTNO,               DATE,     RANK,   CODE,                                             TYPE,   LOAD,SPINDLE,  RFVcw,RFVcw1H,RFVcw2H,RFVcw3H,  LFVcw,LFVcw1H,LFVcw2H,LFVcw3H,  LFDcw,  RFVcc,RFVcc1H,RFVcc2H,RFVcc3H,  LFVcc,LFVcc1H,LFVcc2H,LFVcc3H,  LFDcc,    CON,    PLY,   RROt,   RROc, RROc1H,   RROb,   LROt, LROt1H,   LROb, LROb1H, BULGEt, BULGEb,  DENTt,  DENTb, DRRAvg,RFVcwRANK,RFVcw1HRANK,LFVcwRANK,LFVcw1HRANK,LFDcwRANK,RFVccRANK,RFVcc1HRANK,LFVccRANK,LFVcc1HRANK,LFDccRANK,CONRANK,PLYRANK,RROtRANK,RROcRANK,RROc1HRANK,RRObRANK,LROtRANK,LROt1HRANK,LRObRANK,LROb1HRANK,BULGEtRANK,BULGEbRANK,DENTtRANK,DENTbRANK,DRRAvgRank,CONTEST,LROtTEST,LRObTEST,RROcTEST,
      1,2018/06/27  13:28:41,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.1,    3.2,    1.1,    0.7,    2.8,    1.9,    1.2,    0.2,   13.6,    3.6,    2.4,    0.1,    0.5,    1.5,    0.9,    0.5,    0.4,  -15.9,   -1.2,   14.7,   0.00,   0.27,   0.11,   0.00,   0.00,   0.00,   0.58,   0.66,   0.00,   0.11,   0.00,   0.13, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      2,2018/06/27  13:29:08,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.6,    6.2,    1.4,    0.3,    1.4,    0.7,    0.3,    0.6,   12.5,    7.5,    5.8,    1.1,    0.3,    2.4,    2.0,    0.4,    0.7,  -15.2,   -1.3,   13.9,   0.00,   0.30,   0.33,   0.00,   0.00,   0.00,   0.45,   0.35,   0.00,   0.13,   0.00,   0.08, 325.71,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      3,2018/06/27  13:29:35,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    7.1,    2.1,    1.4,    0.7,    3.5,    2.8,    0.4,    0.3,   12.7,    6.8,    2.4,    1.1,    0.8,    2.4,    1.5,    0.2,    0.3,  -15.2,   -1.2,   13.9,   0.00,   0.28,   0.13,   0.00,   0.00,   0.00,   0.48,   0.39,   0.00,   0.19,   0.00,   0.12, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      4,2018/06/27  13:30:01,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    9.2,    5.2,    2.4,    1.0,    1.8,    1.1,    0.6,    0.5,   13.0,    7.7,    4.1,    1.7,    1.2,    1.7,    0.9,    0.6,    0.3,  -15.0,   -1.0,   14.0,   0.00,   0.37,   0.20,   0.00,   0.00,   0.00,   0.27,   0.11,   0.00,   0.10,   0.00,   0.08, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      5,2018/06/27  13:30:29,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    8.3,    6.1,    0.2,    0.9,    2.1,    1.0,    1.0,    0.4,   12.9,    8.3,    6.3,    0.2,    0.6,    1.4,    0.8,    0.2,    0.3,  -14.7,   -0.9,   13.8,   0.00,   0.25,   0.11,   0.00,   0.00,   0.00,   0.34,   0.04,   0.00,   0.12,   0.00,   0.04, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      6,2018/06/27  13:30:56,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.6,    2.5,    0.4,    1.2,    2.6,    1.9,    0.6,    0.7,   13.5,    4.7,    2.5,    0.6,    1.3,    2.3,    1.6,    0.6,    0.4,  -14.7,   -0.6,   14.1,   0.00,   0.14,   0.05,   0.00,   0.00,   0.00,   0.29,   0.22,   0.00,   0.06,   0.00,   0.04, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      7,2018/06/27  13:35:11,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.7,    2.3,    1.6,    0.2,    1.1,    0.5,    0.3,    0.3,   13.3,    5.4,    1.5,    1.6,    0.2,    1.0,    0.3,    0.4,    0.3,  -15.1,   -0.9,   14.2,   0.00,   0.28,   0.11,   0.00,   0.00,   0.00,   0.57,   0.30,   0.00,   0.26,   0.00,   0.26, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      8,2018/06/27  13:35:37,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    6.2,    3.5,    1.8,    1.3,    2.8,    1.8,    1.2,    0.4,   13.3,    6.5,    4.1,    1.6,    1.3,    2.4,    1.4,    1.0,    0.6,  -14.5,   -0.6,   13.9,   0.00,   0.13,   0.13,   0.00,   0.00,   0.00,   0.56,   0.32,   0.00,   0.22,   0.00,   0.23, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
      9,2018/06/27  13:36:02,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.0,    5.7,    1.3,    0.9,    2.3,    1.7,    0.2,    0.4,   13.0,    6.8,    5.2,    1.6,    0.7,    2.2,    1.7,    0.4,    0.0,  -13.9,   -0.5,   13.4,   0.00,   0.32,   0.28,   0.00,   0.00,   0.00,   0.69,   1.01,   0.00,   0.08,   0.00,   0.05, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     10,2018/06/27  13:36:29,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.8,    2.9,    1.0,    1.2,    1.5,    1.2,    0.1,    0.3,   14.5,    3.9,    1.8,    1.3,    1.1,    1.7,    0.7,    0.6,    0.5,  -15.4,   -0.4,   15.0,   0.00,   0.10,   0.03,   0.00,   0.00,   0.00,   0.23,   0.29,   0.00,   0.07,   0.00,   0.04, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     11,2018/06/27  13:36:55,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    7.1,    4.8,    2.0,    1.2,    2.2,    1.5,    0.7,    0.3,   13.7,    7.6,    5.4,    1.8,    1.2,    2.7,    1.9,    1.0,    0.4,  -15.8,   -1.0,   14.8,   0.00,   0.32,   0.30,   0.00,   0.00,   0.00,   0.38,   0.12,   0.00,   0.19,   0.00,   0.16, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     12,2018/06/27  13:37:29,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.7,    2.5,    1.8,    0.8,    3.3,    2.6,    0.1,    0.5,   13.6,    4.0,    1.3,    0.9,    0.6,    2.4,    2.0,    0.3,    0.3,  -16.3,   -1.4,   15.0,   0.00,   0.13,   0.07,   0.00,   0.00,   0.00,   0.43,   0.13,   0.00,   0.22,   0.00,   0.21, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     13,2018/06/27  13:38:04,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.7,    3.9,    0.6,    1.3,    1.9,    1.1,    0.7,    0.2,   13.4,    5.8,    3.9,    0.9,    1.4,    1.7,    1.1,    0.1,    0.2,  -15.8,   -1.2,   14.6,   0.00,   0.21,   0.20,   0.00,   0.00,   0.00,   0.48,   0.47,   0.00,   0.06,   0.00,   0.05, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     14,2018/06/27  13:38:31,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.3,    1.8,    1.7,    0.5,    1.4,    0.7,    0.8,    0.2,   14.6,    4.2,    2.2,    1.2,    0.4,    2.5,    1.6,    0.6,    0.4,  -15.0,   -0.2,   14.8,   0.00,   0.21,   0.07,   0.00,   0.00,   0.00,   0.39,   0.33,   0.00,   0.12,   0.00,   0.05, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
